Date,Predicted_Solar_Index,Day_of_Week,Season,Lower_Bound,Upper_Bound
2025-10-21,5.249775,Tuesday,Post-Monsoon,4.051775,6.447775
2025-10-22,5.2290225,Wednesday,Post-Monsoon,4.0310225,6.4270225
2025-10-23,5.195127,Thursday,Post-Monsoon,3.997127,6.393127
2025-10-24,5.24277,Friday,Post-Monsoon,4.0447702,6.44077
2025-10-25,5.253674,Saturday,Post-Monsoon,4.055674,6.451674
2025-10-26,5.1776724,Sunday,Post-Monsoon,3.9796724,6.3756723
2025-10-27,5.244515,Monday,Post-Monsoon,4.046515,6.442515
2025-10-28,5.229937,Tuesday,Post-Monsoon,4.031937,6.427937
2025-10-29,5.174912,Wednesday,Post-Monsoon,3.976912,6.372912
2025-10-30,5.2881885,Thursday,Post-Monsoon,4.0901885,6.4861884
2025-10-31,5.20485,Friday,Post-Monsoon,4.0068502,6.40285
2025-11-01,5.170761,Saturday,Post-Monsoon,3.9727612,6.368761
2025-11-02,5.2977743,Sunday,Post-Monsoon,4.0997744,6.4957743
2025-11-03,5.2037163,Monday,Post-Monsoon,4.0057163,6.401716
2025-11-04,5.174178,Tuesday,Post-Monsoon,3.9761782,6.372178
2025-11-05,5.2922325,Wednesday,Post-Monsoon,4.0942326,6.4902325
2025-11-06,5.2103624,Thursday,Post-Monsoon,4.0123625,6.4083624
2025-11-07,5.170761,Friday,Post-Monsoon,3.9727612,6.368761
2025-11-08,5.2908125,Saturday,Post-Monsoon,4.0928125,6.4888124
2025-11-09,5.2054906,Sunday,Post-Monsoon,4.0074906,6.4034905
2025-11-10,5.164115,Monday,Post-Monsoon,3.966115,6.362115
2025-11-11,5.2922325,Tuesday,Post-Monsoon,4.0942326,6.4902325
2025-11-12,5.2137794,Wednesday,Post-Monsoon,4.0157795,6.4117794
2025-11-13,5.170761,Thursday,Post-Monsoon,3.9727612,6.368761
2025-11-14,5.276355,Friday,Post-Monsoon,4.078355,6.4743547
2025-11-15,5.2103624,Saturday,Post-Monsoon,4.0123625,6.4083624
2025-11-16,5.1658893,Sunday,Post-Monsoon,3.9678893,6.363889
2025-11-17,5.2821693,Monday,Post-Monsoon,4.0841694,6.4801693
2025-11-18,5.2137794,Tuesday,Post-Monsoon,4.0157795,6.4117794
2025-11-19,5.174178,Wednesday,Post-Monsoon,3.9761782,6.372178
