Date,Solar_Index,Temperature,Humidity,Wind_Speed,Precipitation,Location
2022-10-27,5.3995,23.8,71.25,1.98,0.0,Ghatkopar
2022-10-28,5.3206,23.39,71.09,2.25,0.0,Ghatkopar
2022-10-29,5.5822,23.02,70.61,2.68,0.0,Ghatkopar
2022-10-30,5.5094,23.43,73.53,2.64,0.0,Ghatkopar
2022-10-31,5.3239,23.84,73.71,2.38,0.0,Ghatkopar
2022-11-01,5.2846,23.16,73.36,2.46,0.0,Ghatkopar
2022-11-02,5.4713,23.33,74.5,2.4,0.0,Ghatkopar
2022-11-03,5.6707,23.42,72.35,2.74,0.0,Ghatkopar
2022-11-04,5.6021,23.32,70.4,2.52,0.0,Ghatkopar
2022-11-05,5.621,23.81,65.34,2.68,0.0,Ghatkopar
2022-11-06,5.4533,24.19,64.19,2.46,0.0,Ghatkopar
2022-11-07,5.0738,24.29,67.23,1.87,0.0,Ghatkopar
2022-11-08,4.9183,24.52,72.17,1.58,0.0,Ghatkopar
2022-11-09,4.8077,24.71,70.99,1.31,0.0,Ghatkopar
2022-11-10,4.9694,23.74,74.49,2.46,0.0,Ghatkopar
2022-11-11,4.7765,23.31,76.4,2.73,0.0,Ghatkopar
2022-11-12,4.7446,23.67,77.02,2.8,0.12,Ghatkopar
2022-11-13,4.7273,23.47,75.02,2.59,0.61,Ghatkopar
2022-11-14,4.7566,23.84,75.93,1.84,0.0,Ghatkopar
2022-11-15,4.8574,23.7,74.1,1.79,0.0,Ghatkopar
2022-11-16,5.0503,22.94,73.12,1.84,0.0,Ghatkopar
2022-11-17,4.8917,22.3,72.28,2.49,0.0,Ghatkopar
2022-11-18,5.3611,21.78,70.73,2.71,0.0,Ghatkopar
2022-11-19,5.0448,21.74,70.07,2.86,0.0,Ghatkopar
2022-11-20,5.2975,20.25,68.97,2.79,0.0,Ghatkopar
2022-11-21,5.1482,20.47,66.35,2.35,0.0,Ghatkopar
2022-11-22,4.9138,21.81,70.34,2.1,0.01,Ghatkopar
2022-11-23,4.8012,23.24,73.28,2.12,0.0,Ghatkopar
2022-11-24,4.8264,23.4,72.95,2.08,0.0,Ghatkopar
2022-11-25,4.2367,24.42,77.58,2.12,0.0,Ghatkopar
2022-11-26,4.1345,24.65,78.95,1.72,0.0,Ghatkopar
2022-11-27,4.3152,24.02,78.18,1.7,0.0,Ghatkopar
2022-11-28,4.9073,23.55,72.9,1.35,0.0,Ghatkopar
2022-11-29,4.6541,22.78,68.11,1.51,0.0,Ghatkopar
2022-11-30,4.3097,23.2,72.18,2.04,0.0,Ghatkopar
2022-12-01,4.385,22.89,65.19,2.22,0.0,Ghatkopar
2022-12-02,4.6298,22.96,64.95,1.84,0.0,Ghatkopar
2022-12-03,4.3231,24.24,69.27,1.51,0.0,Ghatkopar
2022-12-04,3.427,25.5,77.46,1.49,0.0,Ghatkopar
2022-12-05,3.5597,25.81,77.54,1.45,0.01,Ghatkopar
2022-12-06,4.0092,24.84,75.12,1.87,0.01,Ghatkopar
2022-12-07,3.8131,24.1,73.83,2.05,0.0,Ghatkopar
2022-12-08,3.948,22.06,68.79,2.66,1.71,Ghatkopar
2022-12-09,5.0153,20.37,64.82,2.79,1.44,Ghatkopar
2022-12-10,5.0947,21.19,65.05,2.14,0.0,Ghatkopar
2022-12-11,4.6543,23.98,77.25,1.92,0.0,Ghatkopar
2022-12-12,4.0102,25.69,78.62,1.72,0.12,Ghatkopar
2022-12-13,3.9103,26.21,77.97,1.99,0.17,Ghatkopar
2022-12-14,3.4752,24.88,82.69,2.19,1.14,Ghatkopar
2022-12-15,3.678,25.27,80.7,1.89,0.82,Ghatkopar
2022-12-16,4.3334,26.2,76.92,1.94,0.04,Ghatkopar
2022-12-17,4.2408,26.32,73.85,1.88,0.01,Ghatkopar
2022-12-18,4.4777,25.77,71.8,2.15,0.0,Ghatkopar
2022-12-19,4.9128,24.42,63.93,2.28,0.0,Ghatkopar
2022-12-20,4.872,23.82,60.95,2.2,0.0,Ghatkopar
2022-12-21,4.5437,23.84,62.99,2.2,0.0,Ghatkopar
2022-12-22,4.2084,23.93,64.21,1.72,0.0,Ghatkopar
2022-12-23,4.5367,22.57,64.57,1.75,0.0,Ghatkopar
2022-12-24,4.8053,21.04,57.21,1.67,0.0,Ghatkopar
2022-12-25,4.584,20.7,59.94,1.32,0.0,Ghatkopar
2022-12-26,4.2204,21.98,70.31,1.43,0.0,Ghatkopar
2022-12-27,4.2866,23.67,69.43,1.73,0.0,Ghatkopar
2022-12-28,4.5391,24.05,58.48,1.64,0.0,Ghatkopar
2022-12-29,4.6747,23.72,57.39,1.48,0.0,Ghatkopar
2022-12-30,4.7434,23.19,59.22,1.67,0.0,Ghatkopar
2022-12-31,4.8415,22.37,58.99,2.01,0.0,Ghatkopar
2023-01-01,4.8946,21.71,58.82,1.7,0.0,Ghatkopar
2023-01-02,4.9454,22.37,61.81,2.1,0.0,Ghatkopar
2023-01-03,4.6675,22.26,59.42,2.23,0.0,Ghatkopar
2023-01-04,4.0046,22.41,60.06,2.0,0.0,Ghatkopar
2023-01-05,3.2556,23.5,67.65,2.75,0.0,Ghatkopar
2023-01-06,3.4198,24.58,68.62,2.67,0.0,Ghatkopar
2023-01-07,3.4951,24.68,65.82,2.44,0.0,Ghatkopar
2023-01-08,4.5466,23.39,59.31,2.43,0.0,Ghatkopar
2023-01-09,4.9829,22.02,47.87,2.47,0.0,Ghatkopar
2023-01-10,5.0244,22.6,43.96,2.21,0.0,Ghatkopar
2023-01-11,4.8569,22.18,49.22,1.95,0.0,Ghatkopar
2023-01-12,5.041,21.14,50.19,1.64,0.0,Ghatkopar
2023-01-13,4.6903,20.43,70.41,1.8,0.0,Ghatkopar
2023-01-14,5.1432,19.58,57.29,1.88,0.0,Ghatkopar
2023-01-15,5.0921,19.92,53.69,1.65,0.0,Ghatkopar
2023-01-16,5.1302,20.62,52.86,1.45,0.0,Ghatkopar
2023-01-17,5.1634,20.51,52.31,1.4,0.0,Ghatkopar
2023-01-18,5.1674,21.96,51.62,1.56,0.0,Ghatkopar
2023-01-19,5.0935,22.82,52.91,1.85,0.0,Ghatkopar
2023-01-20,5.053,23.03,55.57,1.37,0.0,Ghatkopar
2023-01-21,4.9145,22.08,61.8,1.55,0.0,Ghatkopar
2023-01-22,4.8283,20.79,59.27,1.79,0.0,Ghatkopar
2023-01-23,4.9082,20.24,55.66,2.02,0.0,Ghatkopar
2023-01-24,4.4309,19.56,58.97,1.91,0.0,Ghatkopar
2023-01-25,4.4254,20.0,53.08,2.32,0.0,Ghatkopar
